Candidates,Posterior mean (meV/atom),Variance (meV/atom)
Li0Sn1S2Cl0,16.0,87.4
Li0Sn2S4Cl0,16.0,87.4
Li0Sn3S6Cl0,16.0,87.4
Li0Sn4S8Cl0,16.0,87.4
Li3Sn0S0Cl3,17.9,88.6
Li4Sn0S0Cl4,17.9,88.6
Li2Sn0S0Cl2,17.9,88.6
Li1Sn0S0Cl1,17.9,88.6
Li2Sn0S1Cl0,22.9,86.1
Li4Sn0S2Cl0,22.9,86.1
Li6Sn0S3Cl0,22.9,86.1
Li8Sn0S4Cl0,22.9,86.1
Li6Sn0S1Cl4,27.8,86.8
Li5Sn0S1Cl3,29.2,87.1
Li2Sn1S3Cl0,33.4,86.5
Li4Sn2S6Cl0,33.4,86.5
Li6Sn2S7Cl0,35.5,86.6
Li8Sn0S2Cl4,36.1,86.9
Li4Sn0S1Cl2,36.1,86.9
Li4Sn1S4Cl0,41.5,86.5
Li7Sn0S2Cl3,43.8,86.6
Li5Sn1S4Cl1,45.5,85.5
Li7Sn1S4Cl3,45.6,85.7
Li4Sn3S8Cl0,46.3,87.1
Li0Sn1S0Cl4,47.6,89.6
Li6Sn1S4Cl2,48.9,85.5
Li8Sn1S5Cl2,49.0,85.4
Li9Sn0S4Cl1,51.9,86.5
Li6Sn0S2Cl2,53.6,87.4
Li9Sn0S3Cl3,53.6,87.4
Li3Sn0S1Cl1,53.6,87.4
Li5Sn1S3Cl3,53.8,85.6
Li7Sn1S5Cl1,53.9,85.4
Li7Sn0S3Cl1,54.1,86.8
Li6Sn1S3Cl4,54.5,85.6
Li6Sn1S5Cl0,54.6,86.4
Li3Sn1S3Cl1,55.4,85.6
Li6Sn2S6Cl2,55.4,85.6
Li5Sn0S2Cl1,56.3,87.0
Li8Sn0S3Cl2,57.0,87.0
Li1Sn1S1Cl3,58.5,85.9
Li8Sn1S6Cl0,58.9,86.3
Li5Sn2S6Cl1,58.9,85.8
Li0Sn2S2Cl4,60.8,90.3
Li0Sn1S1Cl2,60.8,90.3
Li4Sn1S3Cl2,62.7,85.7
Li2Sn2S5Cl0,64.3,87.3
Li2Sn1S1Cl4,66.5,85.9
Li0Sn3S4Cl4,78.3,88.0
Li2Sn3S7Cl0,83.5,87.5
Li2Sn4S9Cl0,84.9,88.1
Li4Sn1S2Cl4,86.9,85.7
Li5Sn2S5Cl3,89.1,85.8
Li3Sn2S5Cl1,89.9,85.9
Li2Sn2S3Cl4,91.7,86.3
Li1Sn2S3Cl3,92.1,86.1
Li4Sn2S5Cl2,92.6,85.8
Li0Sn2S3Cl2,93.8,88.9
Li0Sn4S6Cl4,93.8,88.9
Li3Sn1S2Cl3,97.5,85.8
Li0Sn3S5Cl2,104.6,88.3
Li4Sn2S4Cl4,105.1,85.7
Li2Sn1S2Cl2,105.1,85.7
Li2Sn3S5Cl4,106.2,86.3
Li3Sn3S7Cl1,106.4,86.6
Li0Sn4S7Cl2,107.0,88.6
Li4Sn3S7Cl2,109.0,85.9
Li1Sn3S5Cl3,111.4,86.7
Li3Sn2S4Cl3,112.2,86.0
Li1Sn4S7Cl3,119.0,86.5
Li1Sn2S4Cl1,127.3,86.4
Li2Sn4S8Cl2,127.3,86.4
Li2Sn3S6Cl2,128.5,86.2
Li2Sn2S4Cl2,132.2,86.4
Li3Sn3S6Cl3,132.2,86.4
Li1Sn1S2Cl1,132.2,86.4
Li1Sn3S6Cl1,134.7,86.1
Li1Sn4S8Cl1,134.7,86.4
